datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
23.02.2025;Bundestagswahl;14713000;1359;1359;1;1;864;253;0;1117;634;6;4;630;5;629;251;247;62;61;137;132;12;19;87;81;16;17;6;3;;6;9;4;;1;5;4;;0;0;0;2;2;41;52;1;;1;;;
23.02.2025;Bundestagswahl;14713000;1361;1361;1;1;802;236;0;1038;498;1;4;494;5;493;200;194;50;49;87;71;14;15;73;76;25;22;2;2;;10;6;6;;2;0;1;;0;0;0;1;1;34;44;1;;1;;;
23.02.2025;Bundestagswahl;14713000;1401;1401;1;1;797;420;0;1217;641;2;1;640;1;640;300;297;45;43;158;128;15;33;48;47;16;22;10;7;;5;6;1;;2;3;2;;1;2;0;1;1;33;51;1;;2;;;
23.02.2025;Bundestagswahl;14713000;1410;1410;1;1;904;225;0;1129;676;3;8;668;7;669;259;274;70;72;166;126;11;19;79;80;16;21;6;3;;12;5;2;;1;4;3;;0;3;3;2;3;45;50;0;;2;;;
23.02.2025;Bundestagswahl;14713000;1421;1421;1;1;837;265;0;1102;569;2;4;565;5;564;258;258;50;46;129;102;19;23;50;67;14;16;3;4;;7;8;2;;1;5;3;;0;1;0;1;1;25;34;1;;1;;;
23.02.2025;Bundestagswahl;14713000;1439;1439;1;1;822;354;0;1176;553;3;1;552;1;552;227;236;64;60;136;108;20;25;43;44;12;21;7;3;;8;6;5;;0;5;2;;0;0;0;2;2;29;38;1;;0;;;
23.02.2025;Bundestagswahl;14713000;1500;1500;1;1;826;306;0;1132;598;0;2;596;2;596;233;242;35;44;183;142;16;23;40;43;20;27;4;5;;8;8;5;;0;5;6;;1;0;0;1;0;48;50;3;;0;;;
23.02.2025;Bundestagswahl;14713000;1510;1510;1;1;685;353;0;1038;604;4;2;602;3;601;201;210;46;50;203;153;15;32;58;59;25;33;7;6;;2;1;0;;3;5;3;;0;0;0;1;0;39;50;1;;0;;;
23.02.2025;Bundestagswahl;14713000;1520;1520;1;1;379;144;0;523;326;0;5;321;5;321;137;146;18;19;96;76;9;15;21;21;10;16;6;5;;7;3;0;;0;2;0;;0;0;0;1;1;16;15;2;;0;;;
23.02.2025;Bundestagswahl;14713000;2000;2000;1;1;757;537;0;1294;619;20;0;619;1;618;80;79;54;42;31;25;5;6;353;331;46;86;3;1;;4;10;6;;1;9;8;;1;5;2;0;0;20;26;1;;2;;;
23.02.2025;Bundestagswahl;14713000;2019;2019;1;1;768;630;0;1398;620;15;2;618;2;618;57;55;64;50;29;21;8;10;385;363;51;85;0;0;;3;3;1;;0;3;2;;2;2;1;3;3;12;22;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2021;2021;1;1;881;558;0;1439;668;3;1;667;2;666;112;113;60;62;107;87;8;20;260;231;62;92;0;0;;5;8;6;;0;9;8;;0;1;1;1;1;35;40;1;;3;;;
23.02.2025;Bundestagswahl;14713000;2029;2029;1;1;763;519;0;1282;619;12;3;616;3;616;66;75;62;53;38;29;7;12;358;328;44;79;3;3;;7;9;7;;0;4;3;;0;1;0;1;0;20;20;3;;0;;;
23.02.2025;Bundestagswahl;14713000;2039;2039;1;1;783;325;0;1108;551;8;6;545;4;547;166;165;62;56;75;62;10;13;136;123;34;52;7;2;;10;7;6;;1;3;1;;0;1;1;1;2;41;53;1;;1;;;
23.02.2025;Bundestagswahl;14713000;2059;2059;1;1;814;464;0;1278;589;13;5;584;0;589;124;125;54;47;63;50;3;6;265;232;35;74;1;2;;6;11;7;;0;4;3;;0;1;0;1;3;21;34;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2069;2069;1;1;655;529;0;1184;531;7;3;528;2;529;64;60;35;25;46;30;11;16;285;266;46;94;1;1;;4;8;8;;0;6;4;;0;1;0;1;1;21;20;0;;3;;;
23.02.2025;Bundestagswahl;14713000;2100;2100;1;1;812;586;0;1398;594;16;3;591;3;591;43;42;55;45;46;29;2;9;353;334;58;94;4;2;;2;3;4;;1;1;0;;0;0;0;0;0;26;29;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2119;2119;1;1;807;563;0;1370;662;15;6;656;5;657;73;73;53;40;37;30;3;8;399;379;51;84;3;1;;6;8;8;;2;4;3;;0;2;1;1;2;21;20;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2139;2139;1;1;869;511;0;1380;612;10;5;607;4;608;106;110;35;21;52;37;9;12;328;312;35;66;1;0;;5;3;3;;0;12;9;;2;2;0;1;0;22;31;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2141;2141;1;1;858;343;0;1201;528;6;7;521;7;521;165;166;42;38;57;47;6;7;193;165;23;48;5;6;;5;2;1;;1;6;3;;0;0;0;0;0;21;34;1;;0;;;
23.02.2025;Bundestagswahl;14713000;2149;2149;1;1;857;283;0;1140;522;6;6;516;8;514;144;143;55;53;44;33;5;10;197;187;21;30;1;1;;12;6;3;;1;4;3;;2;4;2;1;1;29;33;4;;1;;;
23.02.2025;Bundestagswahl;14713000;2159;2159;1;1;869;420;0;1289;588;6;1;587;1;587;130;130;51;37;54;47;6;9;273;256;33;62;3;1;;11;9;3;;1;6;6;;1;3;0;2;2;16;21;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2201;2201;1;1;689;388;0;1077;508;10;3;505;3;505;123;117;33;32;67;53;2;8;209;193;32;53;1;3;;2;1;4;;1;10;5;;2;1;1;2;2;22;29;2;;0;;;
23.02.2025;Bundestagswahl;14713000;2209;2209;1;1;814;383;0;1197;611;5;4;607;6;605;165;171;65;61;139;99;3;20;130;124;48;63;8;5;;9;6;5;;0;7;6;;2;0;0;0;0;33;40;3;;0;;;
23.02.2025;Bundestagswahl;14713000;2219;2219;1;1;915;513;0;1428;678;5;1;677;1;677;162;163;62;50;82;61;16;22;212;195;67;92;8;7;;18;12;9;;0;9;5;;0;0;0;4;5;40;50;1;;2;;;
23.02.2025;Bundestagswahl;14713000;2221;2221;1;1;764;450;0;1214;607;10;1;606;1;606;95;106;44;36;60;46;3;6;290;239;54;106;6;4;;3;10;6;;5;2;8;;4;1;0;0;0;39;37;0;;2;;;
23.02.2025;Bundestagswahl;14713000;2229;2229;1;1;801;479;0;1280;644;7;2;642;3;641;105;103;48;44;61;39;11;15;302;280;75;107;1;1;;5;13;9;;0;5;7;;2;1;0;1;0;18;29;0;;1;;;
23.02.2025;Bundestagswahl;14713000;2231;2231;1;1;676;356;0;1032;550;6;4;546;4;546;125;128;66;50;96;70;12;21;158;156;43;59;4;4;;3;9;8;;2;3;3;;3;3;0;1;1;24;38;1;;1;;;
